category_path,code,article,name,unit,available,reserved,expected,stock,cost_price,cost_amount,sale_price,sale_amount,margin_percent,source_page
Базовый цветок 65%,00177165698743,,Тюльпан,шт,-92.00,92.00,0.00,0.00,0.00,0.00,180.00,0.00,0.00,3
Базовый цветок 65%,00177165698697,,Спрей подешевле,шт,125.00,22.00,0.00,147.00,117.71,17302.76,310.00,45570.00,3.64,3
Базовый цветок 65%,00139,,Роза микс 40-70см,шт,88.00,104.00,0.00,192.00,118.77,22803.85,270.00,51840.00,4.81,3
Базовый цветок 65%,00177165698860,,роза Китай,шт,138.00,40.00,0.00,178.00,46.95,8357.10,130.00,23140.00,3.85,3
Базовый цветок 65%,00138,,Роза 80 см,шт,162.00,11.00,0.00,173.00,121.65,21044.62,290.00,50170.00,15.77,3
Базовый цветок 65%,00177165698879,,ранункулюс Китай,шт,-42.00,42.00,0.00,0.00,0.00,0.00,340.00,0.00,0.00,3
Базовый цветок 65%,00177165698861,,подсолнух Китай,шт,155.00,0.00,0.00,155.00,98.05,15198.32,260.00,40300.00,3.99,3
Базовый цветок 65%,00177165699027,,пион местный,шт,141.00,0.00,0.00,141.00,95.74,13500.00,220.00,31020.00,4.37,3
Базовый цветок 65%,00026,,Маттиола\Львиный зев,шт,23.00,31.00,0.00,54.00,49.00,2646.00,180.00,9720.00,3.99,3
Базовый цветок 65%,00177165699031,,люпин,шт,-4.00,0.00,0.00,-4.00,0.00,0.00,160.00,-640.00,0.00,3
Базовый цветок 65%,00177165698858,,лилия,шт,-8.00,9.00,0.00,1.00,370.00,370.00,770.00,770.00,4.84,3
Базовый цветок 65%,00177165699025,,ландыш,шт,2.00,0.00,0.00,2.00,200.00,400.00,440.00,880.00,4.84,3
Базовый цветок 65%,00177165698751,,Калла Китай,шт,-34.00,34.00,0.00,0.00,0.00,0.00,230.00,0.00,0.00,3
Базовый цветок 65%,00177165699044,,ирис,шт,20.00,0.00,0.00,20.00,60.00,1200.00,140.00,2800.00,1.86,3
Базовый цветок 65%,00177165699012,,диантус (грин трик),шт,3.00,0.00,0.00,3.00,90.00,270.00,200.00,600.00,4.84,3
Базовый цветок 65%,00022,,Диантус,шт,298.00,108.00,0.00,406.00,46.68,18952.00,130.00,52780.00,0.90,3
Базовый цветок 65%,00011,,Гортензия мини,шт,-18.00,33.00,0.00,15.00,240.00,3600.00,700.00,10500.00,9.03,3
Базовый цветок 65%/Тюльпаны,00177165698617,,Джамбо пинк,шт,-21.00,21.00,0.00,0.00,0.00,0.00,160.00,0.00,0.00,3
Горшечные цветы,00177165698824,,кипарис мини горшечка,шт,1.00,0.00,0.00,1.00,251.00,251.00,555.00,555.00,148.43,3
Декор 7.5%,00177165698881,,хелеборус,шт,13.00,2.00,0.00,15.00,210.72,3160.80,440.00,6600.00,0.80,3
Декор 7.5%,00005,,Хамелациум,шт,-1.00,1.00,0.00,0.00,0.00,0.00,420.00,0.00,0.00,4
Декор 7.5%,00177165698934,,Фантанезия,шт,12.00,1.00,0.00,13.00,65.15,846.97,110.00,1430.00,10.98,4
Декор 7.5%,00064,,Сирень,шт,-9.00,0.00,0.00,-9.00,0.00,0.00,160.00,-1440.00,0.00,4
Декор 7.5%,00177165698878,,орхидея онцидиум,шт,14.00,0.00,0.00,14.00,139.12,1947.74,320.00,4480.00,9.03,4
Декор 7.5%,00034,,Оксипеталум,шт,10.00,7.00,0.00,17.00,73.89,1256.16,190.00,3230.00,2.98,4
Декор 7.5%,00037,,Леукадендрон,шт,-2.00,2.00,0.00,0.00,0.00,0.00,310.00,0.00,0.00,4
Декор 7.5%,00177165699014,,аллиум,шт,23.00,0.00,0.00,23.00,72.00,1656.00,160.00,3680.00,4.84,4
Зелень 7.5%,00001,,Эвкалипт,шт,-20.00,42.00,0.00,22.00,77.77,1710.83,200.00,4400.00,0.00,4
Зелень 7.5%,00004,,Паникум Фоунтейн,шт,43.00,0.00,0.00,43.00,5.78,248.44,90.00,3870.00,3.99,4
Зелень 7.5%,00177026,,Молюцелла,шт,28.00,0.00,0.00,28.00,76.00,2128.00,155.00,4340.00,1.83,4
Зелень 7.5%,00177165698711,,Малина зелень,шт,-1.00,0.00,0.00,-1.00,0.00,0.00,80.00,-80.00,0.00,4
Зелень 7.5%,00002,,Лимониум,шт,13.00,4.00,0.00,17.00,38.66,657.21,140.00,2380.00,0.00,4
Зелень 7.5%,00040,,Гипсофила местная,шт,10.00,0.00,0.00,10.00,55.81,558.05,120.00,1200.00,15.98,4
Зелень 7.5%,00057,,Вибурнум зеленый,шт,109.00,0.00,0.00,109.00,33.97,3703.21,120.00,13080.00,3.99,4
Зелень 7.5%,00177165698883,,берграс,шт,-1.00,0.00,0.00,-1.00,0.00,0.00,80.00,-80.00,0.00,4
Инвентарь,00177165698891,,фон,шт,2.00,0.00,0.00,2.00,879.00,1758.00,0.00,0.00,95.02,4
Инвентарь,00177165698652,,Фартуки,шт,13.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,390.90,4
Инвентарь,00177165698704,,Удлинитель(колба),шт,241.00,0.00,0.00,241.00,46.47,11200.00,80.00,19280.00,326.65,4
Инвентарь,00177165698849,,тишью,шт,198.00,0.00,0.00,198.00,8.74,1729.53,0.00,0.00,62.07,4
Инвентарь,00177165698890,,стойка,шт,1.00,0.00,0.00,1.00,2131.19,2131.19,0.00,0.00,95.02,4
Инвентарь,00177165698896,,стикер для конвертов,шт,1.00,0.00,0.00,1.00,377.72,377.72,0.00,0.00,95.02,4
Инвентарь,00177165698851,,степлер,шт,2.00,0.00,0.00,2.00,153.90,307.79,0.00,0.00,137.88,4
Инвентарь,00177165698897,,скрепки,шт,1000.00,0.00,0.00,1000.00,1.70,1695.71,0.00,0.00,95.02,4
Инвентарь,00177165698669,,Скатерть белая,шт,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,390.90,4
Инвентарь,00177165698887,,свечи на батарейках,шт,30.00,0.00,0.00,30.00,150.69,4520.56,0.00,0.00,95.02,4
Инвентарь,00177165698888,,посуда на ресепшн,шт,2.00,0.00,0.00,2.00,958.36,1916.72,0.00,0.00,95.02,4
Инвентарь,00177165698894,,нимбот,шт,1.00,0.00,0.00,1.00,1737.90,1737.90,0.00,0.00,95.02,4
Инвентарь,00177165698895,,лента,шт,-1.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,4
Инвентарь,00177165698893,,лейка,шт,1.00,0.00,0.00,1.00,190.87,190.87,0.00,0.00,95.02,4
Инвентарь,00177165698885,,лампа,шт,5.00,0.00,0.00,5.00,2047.31,10236.56,0.00,0.00,95.02,4
Инвентарь,00177165698658,,Крутящая подставка-доска,шт,24.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,390.90,4
